Origin Time:2025/01/21 00:17:27
Lon:120.57¢XE
Lat:23.23¢XN
Depth:9.7km
Mag:6.4
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   5.54,BAZ=255.17,PGA(V)= 493.40,PGA(NS)= 892.15,PGA(EW)=2104.96,PGV(V)=   8.93,PGV(NS)=  30.98,PGV(EW)=  72.95,Int= 6®z,PGA(SUM)=2057.49,PGV(SUM)=  79.10
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  16.81,BAZ=352.72,PGA(V)= 130.05,PGA(NS)= 372.19,PGA(EW)= 471.94,PGV(V)=   6.35,PGV(NS)=  17.15,PGV(EW)=  19.46,Int= 5®z,PGA(SUM)= 419.39,PGV(SUM)=  25.09
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  22.35,BAZ=284.84,PGA(V)= 103.59,PGA(NS)= 146.78,PGA(EW)= 169.44,PGV(V)=   3.38,PGV(NS)=   4.90,PGV(EW)=   4.72,Int= 4¯Å,PGA(SUM)= 166.47,PGV(SUM)=   5.85
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  23.26,BAZ=188.77,PGA(V)= 113.49,PGA(NS)= 278.37,PGA(EW)= 262.40,PGV(V)=   5.08,PGV(NS)=  13.72,PGV(EW)=  16.13,Int= 5®z,PGA(SUM)= 292.69,PGV(SUM)=  16.87
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  27.46,BAZ=343.49,PGA(V)=  67.20,PGA(NS)= 128.46,PGA(EW)= 178.47,PGV(V)=   3.06,PGV(NS)=   5.31,PGV(EW)=   9.54,Int= 4¯Å,PGA(SUM)= 172.61,PGV(SUM)=   9.78
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  30.70,BAZ= 69.98,PGA(V)=  90.83,PGA(NS)= 121.28,PGA(EW)= 136.85,PGV(V)=   3.56,PGV(NS)=  16.94,PGV(EW)=  10.43,Int= 5®z,PGA(SUM)= 148.56,PGV(SUM)=  16.98
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  32.51,BAZ= 44.40,PGA(V)=  73.36,PGA(NS)= 171.73,PGA(EW)= 239.00,PGV(V)=   8.40,PGV(NS)=  13.24,PGV(EW)=  16.83,Int= 5®z,PGA(SUM)= 243.60,PGV(SUM)=  16.95
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  32.57,BAZ=154.43,PGA(V)=  54.60,PGA(NS)= 127.64,PGA(EW)= 183.91,PGV(V)=   2.27,PGV(NS)=   8.71,PGV(EW)=  11.32,Int= 4¯Å,PGA(SUM)= 193.13,PGV(SUM)=  12.80
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  37.73,BAZ=131.56,PGA(V)=  57.18,PGA(NS)= 130.93,PGA(EW)= 158.85,PGV(V)=   1.77,PGV(NS)=   5.29,PGV(EW)=   6.84,Int= 4¯Å,PGA(SUM)= 151.88,PGV(SUM)=   7.99
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  37.79,BAZ=109.93,PGA(V)=  57.50,PGA(NS)=  79.40,PGA(EW)=  68.16,PGV(V)=   2.56,PGV(NS)=   4.95,PGV(EW)=   5.76,Int= 4¯Å,PGA(SUM)=  80.04,PGV(SUM)=   6.93
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  38.21,BAZ= 80.54,PGA(V)=  36.89,PGA(NS)=  92.52,PGA(EW)= 101.54,PGV(V)=   2.26,PGV(NS)=   6.75,PGV(EW)=  13.70,Int= 4¯Å,PGA(SUM)= 103.85,PGV(SUM)=  14.00
